strain_unl	strain_gfp	evol_partner	spores_prct_gfp	spef_gfp	spef_unl	exp_date	expt_category	
AX4	rCD2.5	CD2	0.608	0.9275	0.5725	9/02/18	cross	
AX4	rCD2.6	CD2	0.4062	0.4275	0.5725	9/02/18	cross	
AX4	rCD3.1	CD3	0.5248	0.93	0.5725	9/02/18	cross	
AX4	rCD3.2	CD3	0.5475	0.5975	0.5725	9/02/18	cross	
AX4	rCD3.3	CD3	0.5029	0.6875	0.5725	9/02/18	cross	
AX4	rCD3.4	CD3	0.4461	0.7475	0.5725	9/02/18	cross	
AX4	rCD3.5	CD3	0.4702	0.9275	0.5725	9/02/18	cross	
AX4	rCD3.6	CD3	0.6977	0.6125	0.5725	9/02/18	cross	
AX4	rCD4.1	CD4	0.6686	0.5675	0.5725	9/02/18	cross	
AX4	rCD4.2	CD4	0.687	0.1385	0.5725	9/02/18	cross	
AX4	rCD4.3	CD4	0.6358	0.1268	0.5725	9/02/18	cross	
AX4	rCD4.4	CD4	0.5617	0.3525	0.5725	9/02/18	cross	
AX4	rCD4.5	CD4	0.6673	0.33	0.5725	9/02/18	cross	
AX4	rCD4.6	CD4	0.6201	0.192	0.5725	9/02/18	cross	
CD1	AX4_G	NONE	0.3898	0.418	0.6	7/02/18	cross	
CD1	rAX4.1	AX4	0.4974	0.393	0.6	7/02/18	cross	
CD1	rAX4.2	AX4	0.433	0.71	0.6	7/02/18	cross	
CD1	rAX4.3	AX4	0.389	0.2095	0.6	7/02/18	cross	
CD1	rAX4.4	AX4	0.3846	0.855	0.6	7/02/18	cross	
CD1	rAX4.5	AX4	0.3919	0.925	0.6	7/02/18	cross	
CD1	rAX4.6	AX4	0.4784	0.755	0.6	7/02/18	cross	
CD1	rCD1.1	CD1	0.4475	0.535	0.6	7/02/18	cross	
CD1	rCD1.2	CD1	0.4504	0.6	0.6	7/02/18	cross	
CD1	rCD1.3	CD1	0.5227	0.845	0.6	7/02/18	cross	
CD1	rCD1.4	CD1	0.4048	0.289	0.6	7/02/18	cross	
CD1	rCD1.5	CD1	0.4505	0.765	0.6	7/02/18	cross	
CD1	rCD1.6	CD1	0.5852	1.04	0.6	7/02/18	cross	
CD1	rCD2.1	CD2	0.4947	0.87	0.6	7/02/18	cross	
CD1	rCD2.2	CD2	0.4465	0.72	0.6	7/02/18	cross	
CD1	rCD2.3	CD2	0.4296	0.64	0.6	7/02/18	cross	
CD1	rCD2.4	CD2	0.4382	0.4135	0.6	7/02/18	cross	
CD1	rCD2.5	CD2	0.5104	0.615	0.6	7/02/18	cross	
CD1	rCD2.6	CD2	0.1163	0.1805	0.6	7/02/18	cross	
CD1	rCD3.1	CD3	0.5319	0.86	0.6	7/02/18	cross	
CD1	rCD3.2	CD3	0.7017	1.03	0.6	7/02/18	cross	
CD1	rCD3.3	CD3	0.4077	0.57	0.6	7/02/18	cross	
CD1	rCD3.4	CD3	0.5177	0.44	0.6	7/02/18	cross	
CD1	rCD3.5	CD3	0.4097	0.242	0.6	7/02/18	cross	
CD1	rCD3.6	CD3	0.451	0.3285	0.6	7/02/18	cross	
CD1	rCD4.1	CD4	0.4973	0.71	0.6	7/02/18	cross	
CD1	rCD4.2	CD4	0.5174	0.91	0.6	7/02/18	cross	
CD1	rCD4.3	CD4	0.4959	0.59	0.6	7/02/18	cross	
CD1	rCD4.4	CD4	0.2895	0.505	0.6	7/02/18	cross	
CD1	rCD4.5	CD4	0.4363	0.635	0.6	7/02/18	cross	
CD1	rCD4.6	CD4	0.4253	0.565	0.6	7/02/18	cross	
CD2	AX4_G	NONE	0.4163	0.418	0.53	7/02/18	cross	
CD2	rAX4.1	AX4	0.5705	0.393	0.53	7/02/18	cross	
CD2	rAX4.2	AX4	0.5814	0.71	0.53	7/02/18	cross	
CD2	rAX4.3	AX4	0.5781	0.2095	0.53	7/02/18	cross	
CD2	rAX4.4	AX4	0.4357	0.855	0.53	7/02/18	cross	
CD2	rAX4.5	AX4	0.4898	0.925	0.53	7/02/18	cross	
CD2	rAX4.6	AX4	0.5504	0.755	0.53	7/02/18	cross	
CD2	rCD1.1	CD1	0.5268	0.535	0.53	7/02/18	cross	
CD2	rCD1.2	CD1	0.5061	0.6	0.53	7/02/18	cross	
CD2	rCD1.3	CD1	0.5295	0.845	0.53	7/02/18	cross	
CD2	rCD1.4	CD1	0.4419	0.289	0.53	7/02/18	cross	
CD2	rCD1.5	CD1	0.4397	0.765	0.53	7/02/18	cross	
CD2	rCD1.6	CD1	0.6017	1.04	0.53	7/02/18	cross	
CD2	rCD2.1	CD2	0.5367	0.87	0.53	7/02/18	cross	
CD2	rCD2.2	CD2	0.5481	0.72	0.53	7/02/18	cross	
CD2	rCD2.3	CD2	0.5324	0.64	0.53	7/02/18	cross	
CD2	rCD2.4	CD2	0.514	0.4135	0.53	7/02/18	cross	
CD2	rCD2.5	CD2	0.6059	0.615	0.53	7/02/18	cross	
CD2	rCD2.6	CD2	0.2199	0.1805	0.53	7/02/18	cross	
CD2	rCD3.1	CD3	0.5748	0.86	0.53	7/02/18	cross	
CD2	rCD3.2	CD3	0.6656	1.03	0.53	7/02/18	cross	
CD2	rCD3.3	CD3	0.3594	0.57	0.53	7/02/18	cross	
CD2	rCD3.4	CD3	0.5098	0.44	0.53	7/02/18	cross	
CD2	rCD3.5	CD3	0.4446	0.242	0.53	7/02/18	cross	
CD2	rCD3.6	CD3	0.5555	0.3285	0.53	7/02/18	cross	
CD2	rCD4.1	CD4	0.5689	0.71	0.53	7/02/18	cross	
CD2	rCD4.2	CD4	0.5561	0.91	0.53	7/02/18	cross	
CD2	rCD4.3	CD4	0.4931	0.59	0.53	7/02/18	cross	
CD2	rCD4.4	CD4	0.4857	0.505	0.53	7/02/18	cross	
CD2	rCD4.5	CD4	0.4958	0.635	0.53	7/02/18	cross	
CD2	rCD4.6	CD4	0.5511	0.565	0.53	7/02/18	cross	
CD3	AX4_G	NONE	0.4496	0.418	0.72	7/02/18	cross	
CD3	rAX4.1	AX4	0.579	0.393	0.72	7/02/18	cross	
CD3	rAX4.2	AX4	0.6045	0.71	0.72	7/02/18	cross	
CD3	rAX4.3	AX4	0.528	0.2095	0.72	7/02/18	cross	
CD3	rAX4.4	AX4	0.5396	0.855	0.72	7/02/18	cross	
CD3	rAX4.5	AX4	0.5645	0.925	0.72	7/02/18	cross	
CD3	rAX4.6	AX4	0.6186	0.755	0.72	7/02/18	cross	
CD3	rCD1.1	CD1	0.5773	0.535	0.72	7/02/18	cross	
CD3	rCD1.2	CD1	0.5844	0.6	0.72	7/02/18	cross	
CD3	rCD1.3	CD1	0.5989	0.845	0.72	7/02/18	cross	
CD3	rCD1.4	CD1	0.4615	0.289	0.72	7/02/18	cross	
CD3	rCD1.5	CD1	0.5549	0.765	0.72	7/02/18	cross	
CD3	rCD1.6	CD1	0.6883	1.04	0.72	7/02/18	cross	
CD3	rCD2.1	CD2	0.6098	0.87	0.72	7/02/18	cross	
CD3	rCD2.2	CD2	0.6028	0.72	0.72	7/02/18	cross	
CD3	rCD2.3	CD2	0.564	0.64	0.72	7/02/18	cross	
CD3	rCD2.4	CD2	0.5449	0.4135	0.72	7/02/18	cross	
CD3	rCD2.5	CD2	0.6768	0.615	0.72	7/02/18	cross	
CD3	rCD2.6	CD2	0.2247	0.1805	0.72	7/02/18	cross	
CD3	rCD3.1	CD3	0.6353	0.86	0.72	7/02/18	cross	
CD3	rCD3.2	CD3	0.6546	1.03	0.72	7/02/18	cross	
CD3	rCD3.3	CD3	0.4545	0.57	0.72	7/02/18	cross	
CD3	rCD3.4	CD3	0.5349	0.44	0.72	7/02/18	cross	
CD3	rCD3.5	CD3	0.4833	0.242	0.72	7/02/18	cross	
CD3	rCD3.6	CD3	0.5762	0.3285	0.72	7/02/18	cross	
CD3	rCD4.1	CD4	0.6176	0.71	0.72	7/02/18	cross	
CD3	rCD4.2	CD4	0.665	0.91	0.72	7/02/18	cross	
CD3	rCD4.3	CD4	0.6534	0.59	0.72	7/02/18	cross	
CD3	rCD4.4	CD4	0.4358	0.505	0.72	7/02/18	cross	
CD3	rCD4.5	CD4	0.6309	0.635	0.72	7/02/18	cross	
CD3	rCD4.6	CD4	0.5791	0.565	0.72	7/02/18	cross	
CD4	AX4_G	NONE	0.6402	0.2068	0.6825	9/02/18	cross	
CD4	rAX4.1	AX4	0.4272	0.3775	0.6825	9/02/18	cross	
CD4	rAX4.2	AX4	0.5432	0.63	0.6825	9/02/18	cross	
CD4	rAX4.3	AX4	0.4964	0.435	0.6825	9/02/18	cross	
CD4	rAX4.4	AX4	0.4397	0.1753	0.6825	9/02/18	cross	
CD4	rAX4.5	AX4	0.4089	0.7625	0.6825	9/02/18	cross	
CD4	rAX4.6	AX4	0.4008	0.455	0.6825	9/02/18	cross	
CD4	rCD1.1	CD1	0.3524	1.025	0.6825	9/02/18	cross	
CD4	rCD1.2	CD1	0.408	0.8375	0.6825	9/02/18	cross	
CD4	rCD1.3	CD1	0.3981	0.5175	0.6825	9/02/18	cross	
CD4	rCD1.4	CD1	0.5185	0.4425	0.6825	9/02/18	cross	
CD4	rCD1.5	CD1	0.4556	0.129	0.6825	9/02/18	cross	
CD4	rCD1.6	CD1	0.4602	0.6775	0.6825	9/02/18	cross	
CD4	rCD2.1	CD2	0.4228	0.6975	0.6825	9/02/18	cross	
CD4	rCD2.2	CD2	0.5592	0.995	0.6825	9/02/18	cross	
CD4	rCD2.3	CD2	0.3832	0.7625	0.6825	9/02/18	cross	
CD4	rCD2.4	CD2	0.4408	0.515	0.6825	9/02/18	cross	
CD4	rCD2.5	CD2	0.4419	0.9275	0.6825	9/02/18	cross	
CD4	rCD2.6	CD2	0.1717	0.4275	0.6825	9/02/18	cross	
CD4	rCD3.1	CD3	0.3115	0.93	0.6825	9/02/18	cross	
CD4	rCD3.2	CD3	0.3146	0.5975	0.6825	9/02/18	cross	
CD4	rCD3.3	CD3	0.3304	0.6875	0.6825	9/02/18	cross	
CD4	rCD3.4	CD3	0.276	0.7475	0.6825	9/02/18	cross	
CD4	rCD3.5	CD3	0.3085	0.9275	0.6825	9/02/18	cross	
CD4	rCD3.6	CD3	0.3615	0.6125	0.6825	9/02/18	cross	
CD4	rCD4.1	CD4	0.4141	0.5675	0.6825	9/02/18	cross	
CD4	rCD4.2	CD4	0.4279	0.1385	0.6825	9/02/18	cross	
CD4	rCD4.3	CD4	0.4212	0.1268	0.6825	9/02/18	cross	
CD4	rCD4.4	CD4	0.2863	0.3525	0.6825	9/02/18	cross	
CD4	rCD4.5	CD4	0.4362	0.33	0.6825	9/02/18	cross	
CD4	rCD4.6	CD4	0.3591	0.192	0.6825	9/02/18	cross	
